,มาตรา,เนื้อหา,หัวข้อ,category
0,1,พระราชบัญญัตินี้เรียกว่า “พระราชบัญญัติคุ้มครองแรงงาน พ.ศ. 2541”,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,- พระราชบัญญัติคุ้มครองแรงงาน พ.ศ. 2541
1,2,พระราชบัญญัตินี้ให้ใช้บังคับเมื่อพ้นกำหนดหนึ่งร้อยแปดสิบวันนับแต่วันประกาศในราชกิจจานุเบกษาเป็นต้นไป,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,ประกาศใช้พระราชบัญญัติ
2,3,ให้ยกเลิก (1) ประกาศของคณะปฏิวัติ ฉบับที่ 103 ลงวันที่ 16 มีนาคม พ.ศ. 2515 (2) พระราชบัญญัติแก้ไขเพิ่มเติมประกาศของคณะปฏิวัติ ฉบับที่ 103 ลงวันที่ 16 มีนาคม พ.ศ. 2515 (ฉบับที่ 1) พ.ศ. 2533 บรรดากฎหมาย กฎ และข้อบังคับอื่นในส่วนที่มีบัญญัติไว้แล้วในพระราชบัญญัตินี้ หรือซึ่งขัดหรือแย้งกับบทแห่งพระราชบัญญัตินี้ ให้ใช้พระราชบัญญัตินี้แทน,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,การยกเลิกประกาศของคณะปฏิวัติและพระราชบัญญัติ
3,4,พระราชบัญญัตินี้มิให้ใช้บังคับแก่ (1) ราชการส่วนกลาง ราชการส่วนภูมิภาค และราชการส่วนท้องถิ่น (2) รัฐวิสาหกิจตามกฎหมายว่าด้วยแรงงานรัฐวิสาหกิจสัมพันธ์ นอกจากกรณีตามวรรคหนึ่ง จะออกกฎกระทรวงมิให้ใช้บังคับพระราชบัญญัตินี้ทั้งหมดหรือแต่บางส่วนแก่นายจ้างประเภทหนึ่งประเภทใดก็ได้,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,ข้อจำกัดความใช้บังคับของพระราชบัญญัติ
4,5,ในพระราชบัญญัตินี้ “นายจ้าง”  หมายความว่า ผู้ซึ่งตกลงรับลูกจ้างเข้าทำงานโดยจ่ายค่าจ้างให้และหมายความรวมถึง (1) ผู้ซึ่งได้รับมอบหมายให้ทำงานแทนนายจ้าง (2) ในกรณีที่นายจ้างเป็นนิติบุคคลให้หมายความรวมถึงผู้มีอำนาจกระทำการแทนนิติบุคคลและผู้ซึ่งได้รับมอบหมายจากผู้มีอำนาจกระทำการแทนนิติบุคคลให้ทำการแทนด้วย	“ลูกจ้าง” หมายความว่า ผู้ซึ่งตกลงทำงานให้นายจ้างโดยรับค่าจ้างไม่ว่าจะเรียกชื่ออย่างไร “ผู้ว่าจ้าง” หมายความว่า ผู้ซึ่งตกลงว่าจ้างบุคคลอีกบุคคลหนึ่งให้ดำเนินงานทั้งหมดหรือแต่บางส่วนของงานใดเพื่อประโยชน์แก่ตน โดยจะจ่ายสินจ้างตอบแทนผลสำเร็จแห่งการงานที่ทำนั้น “ผู้รับเหมาชั้นต้น” หมายความว่า ผู้ซึ่งตกลงรับจะดำเนินงานทั้งหมดหรือแต่บางส่วนของงานใดจนสำเร็จประโยชน์ของผู้ว่าจ้าง “ผู้รับเหมาช่วง” หมายความว่า ผู้ซึ่งทำสัญญากับผู้รับเหมาชั้นต้นโดยรับจะดำเนินงานทั้งหมดหรือแต่บางส่วนของงานใดในความรับผิดชอบของผู้รับเหมาชั้นต้นเพื่อประโยชน์แก่ผู้ว่าจ้าง และหมายความรวมถึงผู้ซึ่งทำสัญญากับผู้รับเหมาช่วงเพื่อรับช่วงงานในความรับผิดชอบของผู้รับเหมาช่วง ทั้งนี้ ไม่ว่าจะรับเหมาช่วงกันกี่ช่วงก็ตาม “สัญญาจ้าง” หมายความว่า สัญญาไม่ว่าเป็นหนังสือหรือด้วยวาจาระบุชัดเจน หรือเป็นที่เข้าใจโดยปริยายซึ่งบุคคลหนึ่งเรียกว่าลูกจ้างตกลงจะทำงานให้แก่บุคคลอีกบุคคลหนึ่งเรียกว่านายจ้างและนายจ้างตกลงจะให้ค่าจ้างตลอดเวลาที่ทำงานให้ “วันทำงาน” หมายความว่า วันที่กำหนดให้ลูกจ้างทำงานตามปกติ “วันหยุด” หมายความว่า วันที่กำหนดให้ลูกจ้างหยุดประจำสัปดาห์ หยุดตามประเพณี หรือหยุดพักผ่อนประจำปี “วันลา” หมายความว่า วันที่ลูกจ้างลาป่วย ลาเพื่อทำหมัน ลาเพื่อกิจธุระอันจำเป็น ลาเพื่อรับราชการทหาร ลาเพื่อการฝึกอบรมหรือพัฒนาความรู้ความสามารถ หรือลาเพื่อคลอดบุตร “ค่าจ้าง” หมายความว่า เงินที่นายจ้างและลูกจ้างตกลงกันจ่ายเป็นค่าตอบแทนในการทำงานตามสัญญาจ้างสำหรับระยะเวลาการทำงานปกติเป็นรายชั่วโมง รายวัน รายสัปดาห์ รายเดือน หรือระยะเวลาอื่น หรือจ่ายให้โดยคำนวณตามผลงานที่ลูกจ้างทำได้ในเวลาทำงานปกติของวันทำงาน และให้หมายความรวมถึงเงินที่นายจ้างจ่ายให้แก่ลูกจ้างในวันหยุดและวันลาที่ลูกจ้างมิได้ทำงาน แต่ลูกจ้างมีสิทธิได้รับตามพระราชบัญญัตินี้ “ค่าจ้างในวันทำงาน” หมายความว่า ค่าจ้างที่จ่ายสำหรับการทำงานเต็มเวลาการทำงานปกติ “อัตราค่าจ้างขั้นต่ำ” หมายความว่า อัตราค่าจ้างที่คณะกรรมการค่าจ้างกำหนดตามพระราชบัญญัตินี้ “อัตราค่าจ้างขั้นต่ำพื้นฐาน”  (ยกเลิก) “อัตราค่าจ้างตามมาตรฐานฝีมือ”  หมายความว่า อัตราค่าจ้างที่คณะกรรมการค่าจ้างกำหนดขึ้นในแต่ละสาขาอาชีพตามมาตรฐานฝีมือ “การทำงานล่วงเวลา” หมายความว่า การทำงานนอกหรือเกินเวลาทำงานปกติหรือเกินชั่วโมงทำงานในแต่ละวันที่นายจ้างลูกจ้างตกลงกันตามมาตรา 23 ในวันทำงานหรือวันหยุด แล้วแต่กรณี “ค่าล่วงเวลา” หมายความว่า เงินที่นายจ้างจ่ายให้แก่ลูกจ้างเป็นการตอบแทนการทำงานล่วงเวลาในวันทำงาน “ค่าทำงานในวันหยุด” หมายความว่า เงินที่นายจ้างจ่ายให้แก่ลูกจ้างเป็นการตอบแทนการทำงานในวันหยุด “ค่าล่วงเวลาในวันหยุด” หมายความว่า เงินที่นายจ้างจ่ายให้แก่ลูกจ้างเป็นการตอบแทนการทำงานล่วงเวลาในวันหยุด “ค่าชดเชย” หมายความว่า เงินที่นายจ้างจ่ายให้แก่ลูกจ้างเมื่อเลิกจ้าง นอกเหนือจากเงินประเภทอื่นซึ่งนายจ้างตกลงจ่ายให้แก่ลูกจ้าง “ค่าชดเชยพิเศษ” หมายความว่า เงินที่นายจ้างจ่ายให้แก่ลูกจ้างเมื่อสัญญาจ้างสิ้นสุดลงเพราะมีเหตุกรณีพิเศษที่กำหนดในพระราชบัญญัตินี้ “เงินสะสม” หมายความว่า เงินที่ลูกจ้างจ่ายเข้ากองทุนสงเคราะห์ลูกจ้าง “เงินสมทบ” หมายความว่า เงินที่นายจ้างจ่ายสมทบให้แก่ลูกจ้างเพื่อส่งเข้าสมทบกองทุนสงเคราะห์ลูกจ้าง “พนักงานตรวจแรงงาน” หมายความว่า ผู้ซึ่งรัฐมนตรีแต่งตั้งให้ปฏิบัติการตามพระราชบัญญัตินี้ “อธิบดี” หมายความว่า อธิบดีกรมสวัสดิการและคุ้มครองแรงงาน “รัฐมนตรี” หมายความว่า รัฐมนตรีผู้รักษาการตามพระราชบัญญัตินี้,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,คำ定義
5,6,ให้รัฐมนตรีว่าการกระทรวงแรงงานและสวัสดิการสังคมรักษาการตามพระราชบัญญัตินี้ และให้มีอำนาจแต่งตั้งพนักงานตรวจแรงงาน กับออกกฎกระทรวงและประกาศเพื่อปฏิบัติการตามพระราชบัญญัตินี้ การแต่งตั้งพนักงานตรวจแรงงาน จะกำหนดขอบเขตอำนาจหน้าที่และเงื่อนไขในการปฏิบัติหน้าที่ด้วยก็ได้ กฎกระทรวงและประกาศนั้น เมื่อได้ประกาศในราชกิจจานุเบกษาแล้วให้ใช้บังคับได้,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,การแต่งตั้งและอำนาจของพนักงานตรวจแรงงาน
6,7,การเรียกร้องหรือการได้มาซึ่งสิทธิหรือประโยชน์ตามพระราชบัญญัตินี้ ไม่เป็นการตัดสิทธิหรือประโยชน์ที่ลูกจ้างพึงได้ตามกฎหมายอื่น,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,การได้มาซึ่งสิทธิประโยชน์ตามพระราชบัญญัติ
7,8,ให้รัฐมนตรีมีอำนาจแต่งตั้งพนักงานเจ้าหน้าที่ซึ่งมีคุณวุฒิไม่ต่ำกว่าปริญญาตรีทางนิติศาสตร์ เพื่อมีอำนาจฟ้องคดีหรือแก้ต่างคดีแรงงานให้แก่ลูกจ้างหรือทายาทโดยธรรมของลูกจ้างซึ่งถึงแก่ความตาย และเมื่อกระทรวงแรงงานและสวัสดิการสังคมแจ้งให้ศาลทราบแล้ว ก็ให้มีอำนาจกระทำการได้จนคดีถึงที่สุด,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,อำนาจของรัฐมนตรีในการแต่งตั้งพนักงานเจ้าหน้าที่และฟ้องคดีแรงงาน
8,9,ในกรณีที่นายจ้างไม่คืนหลักประกันที่เป็นเงินตามมาตรา 10 วรรคสอง ไม่จ่ายเงินกรณีนายจ้างบอกเลิกสัญญาจ้างโดยไม่บอกกล่าวล่วงหน้าตามมาตรา 17/1 หรือไม่จ่ายค่าจ้าง ค่าล่วงเวลา ค่าทำงานในวันหยุด ค่าล่วงเวลาในวันหยุด และเงินที่นายจ้างมีหน้าที่ต้องจ่ายตามพระราชบัญญัตินี้ภายในเวลาที่กำหนดตามมาตรา 70 หรือไม่จ่ายเงินกรณีนายจ้างหยุดกิจการตามมาตรา 75 หรือค่าชดเชยตามมาตรา 118 ค่าชดเชยพิเศษแทนการบอกกล่าวล่วงหน้าหรือค่าชดเชยพิเศษตามมาตรา 120 มาตรา 120/1 มาตรา 121 และมาตรา 122 ให้นายจ้างเสียดอกเบี้ยให้แก่ลูกจ้างในระหว่างเวลาผิดนัดร้อยละสิบห้าต่อปี ในกรณีที่นายจ้างจงใจไม่คืนหรือไม่จ่ายเงินตามวรรคหนึ่งโดยปราศจากเหตุผลอันสมควรเมื่อพ้นกำหนดเวลาเจ็ดวันนับแต่วันที่ถึงกำหนดคืนหรือจ่ายให้นายจ้างเสียเงินเพิ่มให้แก่ลูกจ้างร้อยละสิบห้าของเงินที่ค้างจ่ายทุกระยะเวลาเจ็ดวัน ในกรณีที่นายจ้างพร้อมที่จะคืนหรือจ่ายเงินตามวรรคหนึ่งและวรรคสอง และได้นำเงินไปมอบไว้แก่อธิบดีหรือผู้ซึ่งอธิบดีมอบหมายเพื่อจ่ายให้แก่ลูกจ้าง นายจ้างไม่ต้องเสียดอกเบี้ยหรือเงินเพิ่มตั้งแต่วันที่นายจ้างนำเงินนั้นไปมอบไว้,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,ค่าชดเชยและดอกเบี้ย
9,10,ภายใต้บังคับมาตรา 51 วรรคหนึ่ง ห้ามมิให้นายจ้างเรียกหรือรับหลักประกันการทำงานหรือหลักประกันความเสียหายในการทำงาน ไม่ว่าจะเป็นเงิน ทรัพย์สินอื่นหรือการค้ำประกันด้วยบุคคลจากลูกจ้าง เว้นแต่ลักษณะหรือสภาพของงานที่ทำนั้นลูกจ้างต้องรับผิดชอบเกี่ยวกับการเงินหรือทรัพย์สินของนายจ้าง ซึ่งอาจก่อให้เกิดความเสียหายแก่นายจ้างได้ ทั้งนี้ ลักษณะหรือสภาพของงานที่ให้เรียกหรือรับหลักประกันจากลูกจ้าง ตลอดจนประเภทของหลักประกัน จำนวนมูลค่าของหลักประกัน และวิธีการเก็บรักษา ให้เป็นไปตามหลักเกณฑ์และวิธีการที่รัฐมนตรีประกาศกำหนด ในกรณีที่นายจ้างเรียกหรือรับเงินประกัน หรือทำสัญญาประกันกับลูกจ้างเพื่อชดใช้ความเสียหายที่ลูกจ้างเป็นผู้กระทำ เมื่อนายจ้างเลิกจ้าง หรือลูกจ้างลาออก หรือสัญญาประกันสิ้นอายุ ให้นายจ้างคืนเงินประกันพร้อมดอกเบี้ย ถ้ามี ให้แก่ลูกจ้างภายในเจ็ดวันนับแต่วันที่นายจ้างเลิกจ้างหรือวันที่ลูกจ้างลาออก หรือวันที่สัญญาประกันสิ้นอายุ แล้วแต่กรณี,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,ข้อกำหนดและเงื่อนไขการประกันงาน
10,11,หนี้ที่เกิดจากเงินที่นายจ้างต้องจ่ายตามพระราชบัญญัตินี้ หรือเงินที่ต้องชดใช้กองทุนสงเคราะห์ลูกจ้างตามมาตรา 135 ให้ลูกจ้างหรือกรมสวัสดิการและคุ้มครองแรงงาน แล้วแต่กรณี มีบุริมสิทธิเหนือทรัพย์สินทั้งหมดของนายจ้างซึ่งเป็นลูกหนี้ในลำดับเดียวกับบุริมสิทธิในค่าภาษีอากรตามประมวลกฎหมายแพ่งและพาณิชย์,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,ประเภทหนี้ที่มีสิทธิ์เหนือทรัพย์สินนายจ้าง
11,11/1,ในกรณีที่ผู้ประกอบกิจการมอบหมายให้บุคคลหนึ่งบุคคลใดเป็นผู้จัดหาคนมาทำงานอันมิใช่การประกอบธุรกิจจัดหางาน โดยการทำงานนั้นเป็นส่วนหนึ่งส่วนใดในกระบวนการผลิตหรือธุรกิจในความรับผิดชอบของผู้ประกอบกิจการ และโดยบุคคลนั้นจะเป็นผู้ควบคุมดูแลการทำงานหรือรับผิดชอบในการจ่ายค่าจ้างให้แก่คนที่มาทำงานนั้นหรือไม่ก็ตาม ให้ถือว่าผู้ประกอบกิจการเป็นนายจ้างของคนที่มาทำงานดังกล่าว ให้ผู้ประกอบกิจการดำเนินการให้ลูกจ้างรับเหมาค่าแรงที่ทำงานในลักษณะเดียวกันกับลูกจ้างตามสัญญาจ้างโดยตรง ได้รับสิทธิประโยชน์และสวัสดิการที่เป็นธรรมโดยไม่เลือกปฏิบัติ,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,ความรับผิดชอบในการจ้างงานและการให้สิทธิประโยชน์
12,12,ในกรณีที่นายจ้างเป็นผู้รับเหมาช่วง ให้ผู้รับเหมาช่วงถัดขึ้นไป หากมีตลอดสายจนถึงผู้รับเหมาชั้นต้นร่วมรับผิดกับผู้รับเหมาช่วงซึ่งเป็นนายจ้างในค่าจ้าง ค่าล่วงเวลา ค่าทำงานในวันหยุด ค่าล่วงเวลาในวันหยุด ค่าชดเชย ค่าชดเชยพิเศษ เงินสะสม เงินสมทบ หรือเงินเพิ่ม ให้ผู้รับเหมาชั้นต้น หรือผู้รับเหมาช่วงตามวรรคหนึ่งมีสิทธิไล่เบี้ยเงินที่ได้จ่ายไปแล้วตามวรรคหนึ่งคืนจากผู้รับเหมาช่วงซึ่งเป็นนายจ้าง,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,ความรับผิดของผู้รับเหมาช่วงและผู้รับเหมาช่วงซึ่งเป็นนายจ้าง
13,13,ในกรณีที่มีการเปลี่ยนแปลงตัวนายจ้าง หรือในกรณีที่นายจ้างเป็นนิติบุคคลและมีการจดทะเบียนเปลี่ยนแปลง โอน หรือควบกับนิติบุคคลใด หากมีผลทำให้ลูกจ้างคนหนึ่งคนใดไปเป็นลูกจ้างของนายจ้างใหม่ การไปเป็นลูกจ้างของนายจ้างใหม่ดังกล่าวต้องได้รับความยินยอมจากลูกจ้างคนนั้นด้วย และให้สิทธิต่าง ๆ ที่ลูกจ้างมีอยู่ต่อนายจ้างเดิมคงมีสิทธิต่อไป โดยนายจ้างใหม่ต้องรับไปทั้งสิทธิและหน้าที่อันเกี่ยวกับลูกจ้างนั้นทุกประการ,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,การเปลี่ยนแปลงของนายจ้างและการยินยอมของลูกจ้าง
14,14,ให้นายจ้างปฏิบัติต่อลูกจ้างให้ถูกต้องตามสิทธิและหน้าที่ที่กำหนดไว้ในประมวลกฎหมายแพ่งและพาณิชย์ เว้นแต่พระราชบัญญัตินี้กำหนดไว้เป็นอย่างอื่น,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,สิทธิและหน้าที่ของลูกจ้างตามกฎหมาย
15,14/1,สัญญาจ้างระหว่างนายจ้างกับลูกจ้าง ข้อบังคับเกี่ยวกับการทำงาน ระเบียบ หรือคำสั่งของนายจ้างที่ทำให้นายจ้างได้เปรียบลูกจ้างเกินสมควร ให้ศาลมีอำนาจสั่งให้สัญญาจ้าง ข้อบังคับเกี่ยวกับการทำงาน ระเบียบ หรือคำสั่งนั้นมีผลใช้บังคับเพียงเท่าที่เป็นธรรมและพอสมควรแก่กรณี,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,สัญญาจ้างและข้อบังคับที่เป็นธรรม
16,15,ให้นายจ้างปฏิบัติต่อลูกจ้างชายและหญิงโดยเท่าเทียมกันในการจ้างงาน เว้นแต่ลักษณะหรือสภาพของงานไม่อาจปฏิบัติเช่นนั้นได้,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,ความเท่าเทียมระหว่างเพศในการจ้างงาน
17,16,ห้ามมิให้นายจ้าง หัวหน้างาน ผู้ควบคุมงาน หรือผู้ตรวจงานกระทำการล่วงเกินคุกคาม หรือก่อความเดือดร้อนรำคาญทางเพศต่อลูกจ้าง,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,การป้องกันการล่วงเกินทางเพศในที่ทำงาน
18,17,สัญญาจ้างย่อมสิ้นสุดลงเมื่อครบกำหนดระยะเวลาในสัญญาจ้างโดยมิต้องบอกกล่าวล่วงหน้า ในกรณีที่สัญญาจ้างไม่มีกำหนดระยะเวลา นายจ้างหรือลูกจ้างอาจบอกเลิกสัญญาจ้างโดยบอกกล่าวล่วงหน้าเป็นหนังสือให้อีกฝ่ายหนึ่งทราบในเมื่อถึงหรือก่อนจะถึงกำหนดจ่ายค่าจ้างคราวหนึ่งคราวใด เพื่อให้เป็นผลเลิกสัญญากันเมื่อถึงกำหนดจ่ายค่าจ้างคราวถัดไปข้างหน้าก็ได้ แต่ไม่จำต้องบอกกล่าวล่วงหน้าเกินสามเดือน  ทั้งนี้ ให้ถือว่าสัญญาจ้างทดลองงานเป็นสัญญาจ้างที่ไม่มีกำหนดระยะเวลาด้วย การบอกเลิกสัญญาจ้างตามวรรคสอง นายจ้างอาจจ่ายค่าจ้างให้ตามจำนวนที่จะต้องจ่ายจนถึงเวลาเลิกสัญญาตามกำหนดที่บอกกล่าวและให้ลูกจ้างออกจากงานทันทีได้ การบอกกล่าวล่วงหน้าตามมาตรานี้ไม่ใช้บังคับแก่การเลิกจ้างตามมาตรา 119 แห่งพระราชบัญญัตินี้ และมาตรา 583 แห่งประมวลกฎหมายแพ่งและพาณิชย์,พระราชบัญญัติคุ้มครองแรงงานพ.ศ. 2541,เงื่อนไขการสิ้นสุดสัญญาจ้าง
